HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
Swansea,QPR,H,1.71,3.7,5.18
West Brom,West Ham,A,2.46,3.28,2.99
Arsenal,Southampton,H,1.77,3.64,4.76
Chelsea,Tottenham,H,1.41,4.67,8.05
Everton,Hull,D,1.51,4.1,6.83
Sunderland,Man City,A,6.8,4.33,1.49
Hull,West Brom,D,2.39,3.22,3.1
Liverpool,Sunderland,D,1.49,4.23,7
Man City,Everton,H,1.5,4.44,6.46
Newcastle,Chelsea,H,6.64,4.08,1.53
QPR,Burnley,H,2.04,3.37,3.81
Stoke,Arsenal,H,3.97,3.45,1.97
Tottenham,Crystal Palace,D,1.59,3.95,5.89
Aston Villa,Leicester,H,2.34,3.3,3.13
West Ham,Swansea,H,2.35,3.32,3.09
Southampton,Man United,A,2.73,3.33,2.61
Arsenal,Newcastle,H,1.43,4.56,7.62
Burnley,Southampton,H,5.06,3.61,1.74
Chelsea,Hull,H,1.17,7.32,17.12
Crystal Palace,Stoke,D,2.53,3.18,2.93
Leicester,Man City,A,6.55,4.52,1.48
Sunderland,West Ham,D,2.87,3.29,2.52
West Brom,Aston Villa,H,2.11,3.27,3.71
Man United,Liverpool,H,1.81,3.67,4.49
Swansea,Tottenham,A,2.47,3.33,2.91
Everton,QPR,H,1.45,4.41,7.54
Aston Villa,Man United,D,6.11,3.9,1.59
Hull,Swansea,A,2.95,3.23,2.5
Man City,Crystal Palace,H,1.29,5.51,10.84
QPR,West Brom,H,2.4,3.26,3.06
Southampton,Everton,H,2.41,3.33,2.98
Tottenham,Burnley,H,1.49,4.34,6.88
West Ham,Leicester,H,1.7,3.82,5.05
Liverpool,Arsenal,D,2.77,3.43,2.53
Newcastle,Sunderland,A,2.06,3.34,3.8
Stoke,Chelsea,A,5.93,3.83,1.61
Arsenal,QPR,H,1.26,5.87,11.5
Burnley,Liverpool,A,4.58,3.7,1.78
Chelsea,West Ham,H,1.33,5.26,9.54
Crystal Palace,Southampton,A,3.59,3.27,2.15
Everton,Stoke,A,1.8,3.54,4.72
Leicester,Tottenham,A,3.63,3.46,2.06
Man United,Newcastle,H,1.38,4.82,8.53
Sunderland,Hull,A,2.03,3.27,3.96
Swansea,Aston Villa,H,1.73,3.62,5.08
West Brom,Man City,A,6.31,4.23,1.53
Aston Villa,Sunderland,D,2.3,3.19,3.28
Hull,Leicester,A,2.23,3.27,3.33
Man City,Burnley,D,1.16,7.74,17.78
Newcastle,Everton,H,2.84,3.33,2.49
QPR,Crystal Palace,D,2.35,3.27,3.09
Southampton,Chelsea,D,4.62,3.54,1.81
Stoke,West Brom,H,1.88,3.41,4.38
Tottenham,Man United,D,3.18,3.43,2.23
West Ham,Arsenal,A,3.41,3.47,2.12
Liverpool,Swansea,H,1.67,3.72,5.31
Aston Villa,Crystal Palace,D,2.37,3.19,3.19
Hull,Everton,H,3.28,3.28,2.28
Liverpool,Leicester,D,1.4,4.71,8.04
Man City,Sunderland,H,1.23,6.39,13.1
Newcastle,Burnley,D,1.78,3.64,4.66
QPR,Swansea,D,2.93,3.28,2.48
Southampton,Arsenal,H,2.87,3.29,2.52
Stoke,Man United,D,3.94,3.41,1.99
Tottenham,Chelsea,H,4.71,3.66,1.77
West Ham,West Brom,D,1.84,3.57,4.38
Burnley,QPR,H,2.14,3.36,3.48
Chelsea,Newcastle,H,1.19,6.84,15.17
Crystal Palace,Tottenham,H,3.48,3.35,2.15
Everton,Man City,D,4.22,3.61,1.86
Leicester,Aston Villa,H,2.17,3.24,3.55
Sunderland,Liverpool,A,4.21,3.46,1.91
Swansea,West Ham,D,2.22,3.34,3.32
West Brom,Hull,H,2.02,3.27,3.97
Arsenal,Stoke,H,1.46,4.37,7.37
Man United,Southampton,A,1.81,3.59,4.54
Aston Villa,Liverpool,A,4.48,3.44,1.87
Burnley,Crystal Palace,A,2.48,3.17,3.02
Leicester,Stoke,A,2.56,3.2,2.89
Newcastle,Southampton,A,3.17,3.26,2.34
QPR,Man United,A,5.77,3.92,1.61
Swansea,Chelsea,A,6.64,3.96,1.55
Tottenham,Sunderland,H,1.59,3.99,5.86
Man City,Arsenal,A,1.79,3.82,4.38
West Ham,Hull,H,1.74,3.56,5.13
Everton,West Brom,D,1.83,3.52,4.58
